$DATA1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '* the first line is always a comment'
index,delay_read,temper,alter#
157, 9.061462e-11,  27.0000000,1
158, 9.539405e-11,  27.0000000,1
159, 9.859016e-11,  27.0000000,1
160, 9.569530e-11,  27.0000000,1
161, 8.844169e-11,  27.0000000,1
162, 9.444029e-11,  27.0000000,1
163, 9.383914e-11,  27.0000000,1
164, 9.654727e-11,  27.0000000,1
165, 8.833732e-11,  27.0000000,1
166, 9.218365e-11,  27.0000000,1
167, 9.690237e-11,  27.0000000,1
168, 9.127940e-11,  27.0000000,1
169, 9.510702e-11,  27.0000000,1
170, 8.741002e-11,  27.0000000,1
171, 9.008709e-11,  27.0000000,1
172, 9.508092e-11,  27.0000000,1
173, 9.259295e-11,  27.0000000,1
174, 8.896621e-11,  27.0000000,1
175, 9.124801e-11,  27.0000000,1
176, 9.208155e-11,  27.0000000,1
177, 9.364627e-11,  27.0000000,1
178, 8.557266e-11,  27.0000000,1
179, 8.795623e-11,  27.0000000,1
180, 9.311321e-11,  27.0000000,1
181, 9.267673e-11,  27.0000000,1
182, 8.945014e-11,  27.0000000,1
183, 9.007369e-11,  27.0000000,1
184, 9.341400e-11,  27.0000000,1
185, 8.916689e-11,  27.0000000,1
186, 9.319455e-11,  27.0000000,1
187, 9.201827e-11,  27.0000000,1
188, 9.893117e-11,  27.0000000,1
189, 8.709435e-11,  27.0000000,1
190, 8.966471e-11,  27.0000000,1
191, 9.287511e-11,  27.0000000,1
192, 9.199884e-11,  27.0000000,1
193, 9.079069e-11,  27.0000000,1
194, 8.640605e-11,  27.0000000,1
195, 9.002194e-11,  27.0000000,1
196, 9.189267e-11,  27.0000000,1
197, 8.998291e-11,  27.0000000,1
198, 9.141909e-11,  27.0000000,1
199, 9.241953e-11,  27.0000000,1
200, 9.231776e-11,  27.0000000,1
201, 9.262597e-11,  27.0000000,1
202, 9.238790e-11,  27.0000000,1
203, 9.479941e-11,  27.0000000,1
204, 9.501606e-11,  27.0000000,1
205, 9.508480e-11,  27.0000000,1
206, 9.114981e-11,  27.0000000,1
207, 9.292139e-11,  27.0000000,1
208, 9.335778e-11,  27.0000000,1
209, 9.550025e-11,  27.0000000,1
210, 9.432320e-11,  27.0000000,1
211, 9.222420e-11,  27.0000000,1
