$DATA1 
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '* the first line is always a comment'
index,delay_read,temper,alter#
157, 1.447557e-10,  27.0000000,1
158, 1.590907e-10,  27.0000000,1
159, 1.665995e-10,  27.0000000,1
160, 1.567450e-10,  27.0000000,1
161, 1.396394e-10,  27.0000000,1
162, 1.545293e-10,  27.0000000,1
163, 1.531725e-10,  27.0000000,1
164, 1.591831e-10,  27.0000000,1
165, 1.431709e-10,  27.0000000,1
166, 1.495562e-10,  27.0000000,1
167, 1.601396e-10,  27.0000000,1
168, 1.454006e-10,  27.0000000,1
169, 1.542855e-10,  27.0000000,1
170, 1.376252e-10,  27.0000000,1
171, 1.433960e-10,  27.0000000,1
172, 1.560459e-10,  27.0000000,1
173, 1.519872e-10,  27.0000000,1
174, 1.426503e-10,  27.0000000,1
175, 1.481078e-10,  27.0000000,1
176, 1.493103e-10,  27.0000000,1
177, 1.526757e-10,  27.0000000,1
178, 1.330999e-10,  27.0000000,1
179, 1.390499e-10,  27.0000000,1
180, 1.511269e-10,  27.0000000,1
181, 1.521160e-10,  27.0000000,1
182, 1.424615e-10,  27.0000000,1
183, 1.435959e-10,  27.0000000,1
184, 1.509717e-10,  27.0000000,1
185, 1.418851e-10,  27.0000000,1
186, 1.496295e-10,  27.0000000,1
187, 1.480106e-10,  27.0000000,1
188, 1.646287e-10,  27.0000000,1
189, 1.369265e-10,  27.0000000,1
190, 1.416529e-10,  27.0000000,1
191, 1.513873e-10,  27.0000000,1
192, 1.478519e-10,  27.0000000,1
193, 1.446180e-10,  27.0000000,1
194, 1.345544e-10,  27.0000000,1
195, 1.458727e-10,  27.0000000,1
196, 1.486428e-10,  27.0000000,1
197, 1.455053e-10,  27.0000000,1
198, 1.460018e-10,  27.0000000,1
199, 1.493559e-10,  27.0000000,1
200, 1.514778e-10,  27.0000000,1
201, 1.499305e-10,  27.0000000,1
202, 1.515761e-10,  27.0000000,1
203, 1.550218e-10,  27.0000000,1
204, 1.562721e-10,  27.0000000,1
205, 1.580166e-10,  27.0000000,1
206, 1.460255e-10,  27.0000000,1
207, 1.515303e-10,  27.0000000,1
208, 1.525357e-10,  27.0000000,1
209, 1.554103e-10,  27.0000000,1
210, 1.538300e-10,  27.0000000,1
211, 1.488293e-10,  27.0000000,1
212, 1.553629e-10,  27.0000000,1
213, 1.297075e-10,  27.0000000,1
214, 1.504654e-10,  27.0000000,1
215, 1.511503e-10,  27.0000000,1
216, 1.584328e-10,  27.0000000,1
217, 1.541720e-10,  27.0000000,1
218, 1.504527e-10,  27.0000000,1
219, 1.491146e-10,  27.0000000,1
220, 1.412088e-10,  27.0000000,1
221, 1.536588e-10,  27.0000000,1
222, 1.410113e-10,  27.0000000,1
223, 1.503407e-10,  27.0000000,1
224, 1.403927e-10,  27.0000000,1
225, 1.528182e-10,  27.0000000,1
226, 1.433455e-10,  27.0000000,1
227, 1.498048e-10,  27.0000000,1
228, 1.466777e-10,  27.0000000,1
229, 1.552354e-10,  27.0000000,1
230, 1.521179e-10,  27.0000000,1
231, 1.699869e-10,  27.0000000,1
232, 1.495200e-10,  27.0000000,1
233, 1.417175e-10,  27.0000000,1
234, 1.446848e-10,  27.0000000,1
235, 1.472933e-10,  27.0000000,1
236, 1.475075e-10,  27.0000000,1
237, 1.396765e-10,  27.0000000,1
238, 1.576491e-10,  27.0000000,1
239, 1.457681e-10,  27.0000000,1
240, 1.395554e-10,  27.0000000,1
241, 1.573468e-10,  27.0000000,1
242, 1.387411e-10,  27.0000000,1
243, 1.502721e-10,  27.0000000,1
244, 1.523675e-10,  27.0000000,1
245, 1.333693e-10,  27.0000000,1
246, 1.711754e-10,  27.0000000,1
247, 1.385155e-10,  27.0000000,1
248, 1.334411e-10,  27.0000000,1
249, 1.316757e-10,  27.0000000,1
250, 1.482121e-10,  27.0000000,1
251, 1.512391e-10,  27.0000000,1
252, 1.443517e-10,  27.0000000,1
253, 1.628269e-10,  27.0000000,1
254, 1.425610e-10,  27.0000000,1
